Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device - 1,101,0,3,3.4356435643564356,2,8,256.0,1.0035153727718313,0.0,3,4,4,4,5,5,6,6,8,8,8
MQTT,Device - 10,100,0,3,3.26,1,9,256.0,0.9935795770018132,0.0,3,3,4,4,4,5,6,9,9,9,9
MQTT,Device - 2,101,0,3,3.1386138613861387,2,7,256.0,1.0035153727718313,0.0,3,3,3,4,4,5,5,5,7,7,7
MQTT,Device - 3,101,0,3,3.3366336633663365,2,7,256.0,1.0035153727718313,0.0,3,3,4,4,5,5,6,6,7,7,7
MQTT,Device - 4,101,0,3,3.0396039603960396,1,5,256.0,1.0035153727718313,0.0,3,3,3,3,4,5,5,5,5,5,5
MQTT,Device - 5,101,0,3,2.910891089108911,1,6,256.0,1.0035153727718313,0.0,3,3,3,4,4,4,5,5,6,6,6
MQTT,Device - 6,100,0,3,3.0,2,6,256.0,0.9935795770018132,0.0,3,3,3,3,3,3,5,6,6,6,6
MQTT,Device - 7,100,0,3,3.34,2,9,256.0,0.9935795770018132,0.0,3,3,4,4,5,5,7,9,9,9,9
MQTT,Device - 8,100,0,3,3.24,2,9,256.0,0.9935795770018132,0.0,3,3,4,4,4,5,6,9,9,9,9
MQTT,Device - 9,100,0,3,3.36,2,9,256.0,0.9935795770018132,0.0,3,4,4,4,4,5,5,9,9,9,9
,Aggregated,1005,0,3,3.2059701492537314,1,9,256.0,9.985474748868223,0.0,3,3,4,4,4,5,5,6,9,9,9
